country_code,account_code,account_label
CTA,2110101,Basic salaries - permanent employees
CTA,2210201,Communication supplies
CTA,2210301,Domestic travel
CTA,2211101,Medical drugs
CTA,2211102,Contraceptives and family planning commodities
CTA,2211103,Vaccines
CTA,2211105,HIV test kits and ARVs
CTA,2211110,Maternity supplies and delivery kits
CTA,2211199,General medical consumables
CTA,2211201,Laboratory reagents
CTA,2211305,Immunisation outreach
CTA,2211306,Antenatal outreach services
CTA,2211308,Youth SRH counselling services
CTA,2211320,Cervical cancer screening
CTA,2211404,SGBV survivor support services
CTA,2211407,Cleaning and fumigation - health facilities
CTA,2211501,Refined fuels
CTA,2211511,Printing and stationery
CTA,3110101,Construction of buildings - health facilities
CTA,3110701,Purchase of vehicles - ambulances
