country_code,account_code,account_label
CTC,2210101,Regular staff salaries
CTC,2210105,Office supplies
CTC,2211001,Essential medicines
CTC,2211005,Contraceptives
CTC,2211010,Vaccines and cold chain supplies
CTC,2211015,HIV test kits and antiretrovirals
CTC,2211020,Delivery kits and obstetric supplies
CTC,2211050,Laboratory reagents
CTC,2212010,Health promotion - youth SRH
CTC,2212015,Cervical cancer screening campaign
CTC,2212020,GBV survivor psycho-social support
CTC,2212030,ANC outreach - rural districts
CTC,2213010,Health facility cleaning contracts
CTC,2213020,Fuel and transport - health services
CTC,2214010,Construction of health posts
CTC,2214020,Ambulance procurement
